city_id,city,pop,age,household,individual,house,rent,COLI
991,"Springfield, Oregon",62353,35.8,44273,22600,194169,868,96.4
992,"Tigard, Oregon",53148,38.2,76668,38324,410036,1267,103.6
993,"Allentown, Pennsylvania",121283,31.3,39687,19928,123700,933,99.5
994,"Altoona, Pennsylvania",44098,38.5,39506,23544,104992,633,91.7
995,"Bethlehem, Pennsylvania",75707,32.6,53504,28729,169700,970,100.0
996,"Chester, Pennsylvania",34077,30.4,37896,20598,83497,844,100.1
997,"Erie, Pennsylvania",97369,35.0,37721,21602,88000,682,91.6
998,"Harrisburg, Pennsylvania",49192,31.9,39966,22467,100079,851,95.9
999,"Lancaster, Pennsylvania",59708,31.2,41480,20378,124108,844,95.5
1000,"Norristown, Pennsylvania",34510,32.4,51258,27667,170574,1074,102.9
1001,"Philadelphia, Pennsylvania",1580863,34.4,39759,26039,166200,969,103.7
1002,"Pittsburgh, Pennsylvania",302407,33.3,45851,32602,123600,925,95.3
1003,"Reading, Pennsylvania",88423,29.6,31160,15082,70000,758,94.6
1004,"Scranton, Pennsylvania",77605,36.8,35904,21520,108100,751,94.7
1005,"Wilkes-Barre, Pennsylvania",40806,34.0,40601,23072,98603,706,94.0
1006,"York, Pennsylvania",44132,30.8,37149,19853,93940,833,94.2
1007,"Bartlett, Tennessee",59102,42.1,84305,34803,188679,1338,87.1
1008,"Brentwood, Tennessee",42667,40.8,154768,67397,677332,2127,94.8
1009,"Chattanooga, Tennessee",179139,38.2,41859,29883,163000,818,88.7
1010,"Clarksville, Tennessee",153205,29.8,55021,26049,153800,981,87.4
1011,"Cleveland, Tennessee",44483,33.9,43789,24425,176170,717,83.9
1012,"Collierville, Tennessee",50286,40.2,116857,48514,313954,1230,87.0
1013,"Columbia, Tennessee",38266,36.4,45816,22867,152331,893,82.8
1014,"Cookeville, Tennessee",33452,29.3,33973,22202,168588,675,82.2
1015,"Franklin, Tennessee",78321,38.8,96199,47131,412900,1422,91.3
1016,"Gallatin, Tennessee",37351,37.8,56790,31236,211245,845,88.1
1017,"Germantown, Tennessee",39141,45.8,116277,60957,331585,1322,87.6
1018,"Hendersonville, Tennessee",57517,40.0,69589,37077,279989,1149,89.7
1019,"Jackson, Tennessee",66847,35.8,41956,23182,138400,860,85.9
1020,"Kingsport, Tennessee",53374,44.7,41597,31112,149047,646,81.2
1021,"Knoxville, Tennessee",187347,31.9,38714,27096,133900,834,86.1
1022,"Memphis, Tennessee",652236,33.6,39333,24143,98700,863,85.1
1023,"Murfreesboro, Tennessee",136372,29.1,64953,29067,243800,970,88.4
1024,"Nashville-Davidson, Tennessee",667560,34.3,57737,33028,246800,1079,90.1
1025,"Smyrna, Tennessee",49969,35.6,64273,27540,199938,913,87.8
1026,"Abilene, Texas",121885,31.1,49365,24206,114900,822,82.0
1027,"Allen, Texas",100685,38.4,106475,45943,322400,1618,96.0
1028,"Amarillo, Texas",199826,34.3,51263,27134,131400,828,83.4
1029,"Arlington, Texas",396394,33.1,57083,25807,167800,990,94.5
1030,"Austin, Texas",950715,33.4,67755,40323,332700,1244,95.6
1031,"Baytown, Texas",76804,30.8,56042,24014,126600,869,91.5
1032,"Beaumont, Texas",119114,33.2,48043,25632,105000,842,81.7
1033,"Bedford, Texas",49486,41.6,76684,40800,244624,1033,95.3
1034,"Brownsville, Texas",183299,30.3,36176,15407,93300,690,79.2
1035,"Bryan, Texas",84021,31.6,43283,22171,129600,880,87.6
1036,"Burleson, Texas",46145,33.2,70619,29263,165968,1191,94.6
1037,"Carrollton, Texas",135710,37.4,77998,34399,240700,1179,94.9
1038,"Conroe, Texas",84378,31.7,60931,28172,196800,1011,93.1
1039,"Coppell, Texas",41941,40.4,126903,54587,396256,1365,95.6
1040,"Dallas, Texas",1341075,32.4,50627,32114,190600,992,95.1
1041,"Denton, Texas",136268,29.9,51004,27358,223900,1005,95.0
1042,"DeSoto, Texas",53568,39.8,75537,34814,209884,1098,93.8
1043,"Duncanville, Texas",39487,36.9,67623,31114,170760,1095,93.9
1044,"Edinburg, Texas",90280,28.0,55392,19292,115200,760,81.4
1045,"Euless, Texas",55174,35.3,69846,32905,197969,1111,95.1
1046,"Friendswood, Texas",39839,40.0,115306,46783,312246,1113,93.0
1047,"Frisco, Texas",177286,36.6,122302,48987,404100,1449,95.6
1048,"Galveston, Texas",50497,37.5,48019,29878,181199,928,94.1
1049,"Garland, Texas",238002,35.3,57483,25510,161700,1002,94.0
1050,"Georgetown, Texas",70685,45.8,71829,36022,280300,1262,94.0
